Battletags,Level,Rating,K/D,KDA,Win Pct,Kills/Game,Elim/Game,Damage/Game,Healing/Game,Elim/Min,Healing/Min,Damage/Min,Solo Kills,Obj kills,Final Blows,Damage Done,Elims,Environment Kills,MultiKills,Deaths
OGE-31607,"1,269","4,702",3.83,4.52,65.0%,28.07,28.07,"10,182.04",622.19,2.31,0.85,836.24,210,"1,205","1,659","1,394,939","3,846",68,70,"1,004"
Lilbow-2784,"1,712","4,613",2.71,6.27,57.7%,20.57,20.57,"6,308.55","9,047.82",1.60,11.76,491.88,167,"2,219","1,444","1,608,681","5,245",47,31,"1,933"
Boostio-1538,"1,142","4,590",3.07,3.45,58.4%,30.61,30.61,"11,772.92",414.92,2.30,0.52,886.06,247,677,"1,251","906,515","2,357",3,44,769
DANYE-21205,830,"4,565",3.84,4.39,64.5%,30.19,30.19,"11,718.06",82.29,2.54,0.12,986.00,94,244,513,"363,260",936,4,20,244
MirroR-11144,549,"4,555",4.73,7.42,55.6%,27.67,27.67,"11,806.96",932.00,2.46,1.38,"1,047.78",17,320,301,"318,788",747 ,5,12,158
DanneddOTP-2745,58,"4,525",2.07,2.07,59.3%,26.62,26.62,"9,936.81",0.00,2.10,0.00,782.29,391,682,"1,448","904,250","2,422",34,22,"1,169"
xQc-11273,"3,074","4,534",2.76,3.23,56.4%,24.49,24.49,"8,647.22",386.82,2.00,0.53,705.75,224,"2,573","2,789","2,360,691","6,686",57,139,"2,425"
Goliath-1170,"1,491","4,522",3.07,7.35,61.1%,19.56,19.56,"6,453.33","7,201.86",1.72,10.54,566.52,27,253,235,"232,320",704,5,5,229
lhcloudy-2273,"2,124","4,412",2.94,3.52,57.4%,25.24,25.24,"9,378.15",693.15,1.98,0.91,737.63,159,"2,015","2,022","1,913,143","5,148",40,86,"1,753"
Boombox-11925,"1,043","4,474",3.61,10.60,58.1%,21.55,21.55,"7,253.16","7,932.10",2.11 ,12.97,711.62,19,249,225,"224,848",668,0,7,185
ShawnOFF-1789,"2,335","4,503",3.71,5.00,54.4%,26.05,26.05,"10,180.41","1,312.64",2.17,1.82,848.42,287,"1,303 ","1,688","1,384,536","3,543",3,65,956
BarbieQ9130-2297,907,"4,498",3.67,4.71,55.2%,28.30,28.30,"9,528.49","1,285.07",2.22,1.68,745.96,133,626,856,"638,409","1,896",5,20,516
Chubz-2614,"1,542","4,490",3.24,3.66,54.6%,26.74,26.74,"9,474.61",219.31,2.11,0.29,748.51,108,"1,215","1,256","1,146,428","3,236",27,69,999
rCk-21798,774,"4,482",3.48,4.22,59.1%,29.90,29.90,"11,832.45",405.17,2.31,0.52, 913.38,167,829,"1,096","1,041,256","2,631",10,36,755
Jubsv1-1718,59,"4,475",3.12,3.26, 62.5%,29.45,29.45," 12,429.13","1,284.97",2.36,1.71,994.33,454,"1,574","2,124","1,789,795","4,241",8,65,"1,358"
SaltShaker-11718,456,"4,439",2.99, 5.28,52.5%,23.56,23.56,"8,305.22",744.37,1.96,1.03,691.03,34,798,402,"490,008","1,390",9,13,465
ZachaREEE-1297,"1,561","4,457",3.42,4.45,53.7%,27.42,27.42,"11,114.26","1,465.13",2.14,1.90,865.61,206,977,"1,432","1,200,340","2,961",8,37, 865
bogur-2537," 1,921","4,451",2.86,3.58,56.2%,24.74,24.74,"8,956.62",700.13,1.92,0.91,696.20 ,177,"2,225","2,391","2,185,416","6,036",84,117,"2,111"
Boosty-11274,329,"4,420",3.28,3.74,56.9%,29.78,29.78,"11,028.94",751.92,2.45,1.03,908.63,863,"2,024","4,323","2,812,380","7,593",19,132,"2,317"
ChoccyMilk-2185,999,"4,445",2.48,6.09,57.1%,17.24,17.24,"5,351.26","7,555.46",1.40,10.23,434.65,213,972,886,"797,337","2,569",24,14,"1,037"
ChoiSehwan-31338,771," 4,440",3.31,4.64,51.6%,24.29,24.29,"10,499.42","1,671.47",1.89,2.16,815.10,67,433,651,"650,964","1,506",6,27,455
Jellis-1915,823,"4,436",2.78,3.54,54.8%,25.29,25.29,"8,956.74","1,245.57",2.13,1.75,753.21,302,902,"1,403","1,030,025","2,908",7,45,"1,047"
Duri-31327,872,"4,433",3.42,6.30,52.2%,21.32,21.32,"7,426.59","4,294.92",1.76,5.91,613.16,78,797,782,"839,205","2,409",17,34,704
Txao8-2676,682,"4,507",4.24,5.24,56.8%,28.66,28.66,"10,133.01",550.21,2.39,0.76,844.17,232,"1,459","1,778","1,499,686","4,242",10,69,"1,001"
MT1Krystal-4708,414,"4,429",2.94,4.49,54.9%,25.16,25.16,"10,804.55","2,706.45",2.01,3.61,864.11,239,"1,007","1,599","1,437,005","3,346",9,46,"1,138"
UltraViolet-11810,"1,183","4,419",2.24,6.70,53.5%,15.81,15.81,"4,042.01","11,029.26", 1.29,15.04,330.61,35,489,324,"347,613","1,360",3,14,608
Herkkukurkku-21689,564,"4,268",2.62,3.23,49.8%,24.39,24.39,"9,059.90","1,089.24",1.93,1.44,716.54,677,"2,160","3,456","2,455,234","6,610",29,75,"2,526"
Samaritan-11575,809,"4,427",3.04,4.81,60.3%,22.85,22.85,"6,915.97","3,437.71",1.89,4.73,570.52,31,618,536," 470,286","1,554",4,37,511
Lynn-12433,336,"4,409",2.46,4.23,53.7%,23.52,23.52,"8,233.88","3,268.39",1.85,4.30,649.21,138,"1,163","1,204","1,012,767","2,893",7,71,"1,176"
AntBeLike-1180,820,"4,400",1.81,1.85,57.1%,23.24,23.24,"9,521.40",117.68,1.86,0.16,760.20,446 ,692,"1,655","1,133,047","2,766",33,41,"1,525"
leave-4369,180,"4,405",2.60,3.11,54.8%,25.64,25.64,"9,611.18",939.35,2.13,1.30,799.41,"1,850","3,415","7,505","5,036,259","13,433",33,153,"5,159"
LockL34r-21158,67,"4,295",3.61,5.15,55.1%,24.78 ,24.78,"9,801.12","2,797.70",2.04,3.84,807.51,197,953,"1,313","1,068,322","2,701",3,43,748
BoneCrusher9-11987,"1,325","4,303",3.38,5.09,49.9%,24.57,24.57,"8,415.28","2,466.90",2.00,3.35,685.15,479,"3,504","3,967","3,425,018","10,002",54,146,"2,962"
Harzeck-11265,824,"4,304",4.85,6.35,50.0%,28.93,28.93,"9,519.58",451.37,2.39,0.62,785.34,47,792,766,"799,645","2,430",5,68,501
rugob-21283,55,"4,398",2.98,3.68,51.6%,23.99,23.99,"8,656.32",588.39,1.97,0.81,712.51,87 ,782,938,"822,350","2,279",21,49,766
Leinahtan-11954,"1,151","4,382",2.66,3.50,55.1%,22.68,22.68,"8,043.40","1,179.39",1.83,1.59,648.96,208,"2,626","2,266","2,131,501 ","6,011",70,123,"2,257"
Hqrdest-2539,"1,778","4,392",2.94,3.67,52.7%,29.18,29.18,"11,428.62",408.24,2.35,0.55,922.31,585,"1,715","2,740","2,102,867","5,369",4,122,"1,824"
Mlek-21113,270,"4,384",2.87,3.34,57.1%,28.67,28.67,"11,598.07","1,079.64",2.34,1.47,947.06,235,580,"1,068","811,865","2,007",5,37,699
buds-1966,"1,065","4,385",2.80, 3.20,56.1%,26.86,26.86,"10,477.63",663.24,2.09,0.86,817.02,539,906,"1,948","1,288,749","3,304",15,35," 1,178"
caspere-21171,304,"4,382 ",2.98,4.16,55.6%,26.16,26.16,"9,326.63","1,150.81", 2.16,1.58,769.72,129,732,947,"755,457","2,119",11,35,710
Techneeke-11315,"1,013","4,470",4.08,5.74,53.3%,28.74,28.74,"10,956.09",898.85,2.26,1.18,863.25,171,"1,486","1,564","1,500,985","3,938",12,87,965
honorato-11211,995,"4,378",4.66,6.45,50.0%,26.88,26.88,"9,861.79","1,527.50",2.06,1.95,755.03,27,448,456,"473,366","1,290",2,23,277
Schiz-11891,"1,673","4,403",3.02,3.88,55.1%,24.06,24.06,"8,679.52",949.30,1.96,1.29,708.86,79,"1,085","1,018","928,709","2,574",43,58,852
Leodeddz-2374,"1,330","4,309",2.76,5.68,52.4%,19.51,19.51,"6,252.73","6,765.45",1.53,8.81,488.72,47,765,629,"644,031","2,010",10,22,728
MattMerc-11632,897,"4,312",2.70,3.91,53.6%,21.00,21.00,"7,719.31","1,705.81",1.78,2.41,653.54,49,756,746,"748,773","2,037",20,38,755
MikeyA-21853,633,"4,367",3.90,5.94,47.8%,27.30,27.30,"10,329.83","1,307.22",2.22,1.77,841.16,49,236,271,"237,586",628,0,17,161
cyy-11282,"1,211","4,365",3.02, 4.25,50.5%,26.11,26.11,"9,362.91","1,800.60",2.05,2.36,736.20,340,"3,521","3,521","3,136,576","8,748",71,168,"2,901"
eml-21974,731,"4,363",2.15,4.20,51.8%,21.38,21.38,"7,244.36","5,058.80",1.76,6.94,596.45,170,"2,426","1,750","1,789,358","5,281",46,56,"2,459"
naGGa-21240,"1,337","4,359",3.16,4.22,54.2%,28.16,28.16,"10,980.30","2,138.14",2.18,2.76,850.64,680,"2,195","3,751","2,734,094","7,011",30,109,"2,218"
JAKE-16465,"1,013","4,356",3.12,4.30,53.2%,26.36,26.36,"10,512.49","1,591.72",2.09,2.11,834.38,498,"1,860","2,954","2,312,748","5,799",32,117,"1,861"
DixxyDix-21307," 1,215","4,314",2.88,3.99,51.4%,27.23,27.23,"10,441.20","1,316.63",2.02,1.63,774.41,58,357,483,"365,442",953,2,13,331
otterpanda-2856,766,"4,347",0.09,5.75,62.2%,0.86,0.86,172.16,"12,905.76",0.07,16.58,13.27,2,18,13,"6,370",32,0,0,356
Rat-2968,757,"4,344",3.19,3.66,47.1%,29.29,29.29,"9,998.59",694.06,2.33,0.92,796.17,130,314,550,"339,952",996,4,15,312
Na1st-31196,"1,781","4,341",3.07,4.50,52.4%,24.64,24.64,"10,935.79","1,797.07",1.99,2.42,883.15,705,"1,968","3,543","3,258,866","7,342",26,118,"2,389"
Horchata-11570,419,"4,338",3.03,4.11,50.4%,24.09,24.09,"8,200.67","1,481.02",1.95,2.00,662.93,98,"1,062","1,131","1,008,682","2,963",26,45,978
