"Battletags","Level","K/D","KDA","Win Pct","Kills/Game","Elim/Game","Damage/Game","Healing/Game","Elim/Min","Healing/Min","Damage/Min","Solo Kills","Obj kills","Final Blows","Damage Done","Elims","Environment Kills","MultiKills","Deaths","Games","GameTimeMin","Rating"
"Hyonu-1444",130,1.96,3.21,57.4,18.52,18.52,6353.56,1688.34,1.65,2.5,564.25,59,532,453,387567,1130,7,18,577,60.9999748172678,686.871067789101,2162
"chepONx-2502",192,3.4,5.23,57.1,22.07,22.07,5193.64,6715.79,2.31,11.71,543.43,7,174,94,72711,309,5,3,91,14.0000077017275,133.800121450785,1445
"BlueSeal-21478",420,2.65,3.05,58.3,23.71,23.71,7791.67,257.38,2.15,0.39,706.15,62,186,289,187000,569,16,8,215,23.9999897326247,264.816257169157,3105
"Mechr0mancer-1980",512,2.71,3.84,49.6,23.77,23.77,8724.37,2699.88,1.96,3.71,718.68,238,1355,1589,1212688,3304,5,38,1217,139.00006533423,1687.38242333166,2954
"GamingLucas-2685",252,2.47,2.84,55.7,22.97,22.97,8575.75,665.74,2.11,1.02,786.11,219,899,1075,754666,2021,13,23,819,88,960.000508834641,2017
"BillyTheKid3-11900",118,2.48,2.75,51.5,23.94,23.94,9113.15,1062.82,2.17,1.61,827.14,96,333,398,300734,790,8,8,319,33.0000054865771,363.582948473052,1777
"Haise-21293",11,3.36,5.77,62,24.76,24.76,7586.6,3316.24,2.29,5.12,702.46,68,533,477,379330,1238,0,9,369,50,540.002277709763,3125
"Vendetta-31429",419,2.05,3.5,46.5,17.9,17.9,6325.97,2857.69,1.61,4.27,567.48,229,1464,1227,1157652,3276,7,34,1600,182.999919379953,2039.98731232819,2388
"Awshucks-1244",37,2.49,2.81,44.7,18.32,18.32,5963.08,933.61,1.93,1.64,629.44,34,319,232,226597,696,0,13,280,37.9999932920571,359.997775800712,2148
"Coltrane-11476",79,3.24,4.05,44.6,20.89,20.89,5260.82,993.43,1.78,1.41,449.32,28,542,279,294606,1170,11,21,361,56.0000152067548,655.670791418143,1797
"LadyQuinn-21974",880,1.64,2.38,48.2,15.22,15.22,6144.89,2346.41,1.37,3.52,553.04,21,152,174,165912,411,2,6,250,26.9999951178947,300,2789
"bootliss-1732",589,1.92,3.58,50,17.79,17.79,5437.46,5424.81,1.46,7.44,447.34,160,1571,1231,1065742,3486,26,51,1813,195.999970574496,2382.39817588412,2351
"ToasteD-11573",322,2.52,3.82,59.4,22.59,22.59,8848.99,2513.65,2.03,3.77,795.27,148,691,787,610580,1559,9,17,618,68.9999649677534,767.764407056723,2560
"Tyler360-11739",238,1.88,2.17,49.6,18.14,18.14,7721.94,193.54,1.53,0.27,649.35,183,1937,1980,1714271,4027,21,52,2141,222.000041440363,2639.97997997998,2272
"Zagan-21240",626,2.22,3.29,61.9,20.05,20.05,6414.57,1493.52,1.75,2.18,561.28,16,221,142,134706,421,7,5,190,21.0000046768529,239.997862029647,1975
"Lauren-1999",213,3.24,4.54,52.7,24.49,24.49,8701.24,1869.11,2.25,2.86,797.61,115,550,589,478568,1347,5,24,416,54.9999770147703,600.00250749113,2723
