Battletags,Level,Rating,K/D,KDA,Win Pct,Kills/Game,Elim/Game,Damage/Game,Healing/Game,Elim/Min,Healing/Min,Damage/Min,Solo Kills,Obj kills,Final Blows,Damage Done,Elims,Environment Kills,MultiKills,Deaths
OGE-31607,"1,269","4,702",3.83,4.52,65.0%,28.07,28.07,"10,182.04",622.19,2.31,0.85,836.24,210,"1,205","1,659","1,394,939","3,846",68,70,"1,004"
Viol2t-3893,663,"4,701",3.97,10.71,69.1%,23.15,23.15,"9,563.33","8,559.96",2.02,12.42,832.80,123,845,904,"927,643","2,246",5,20,566
uNKOE-2828,"1,268","4,695",2.64,8.81,63.2%,18.70,18.70,"6,060.35","10,082.55",1.55,13.92,502.15,67,918,790,"824,208","2,543",2,27,964
HllyyllH-1649,209,"4,652",3.24,8.41,64.4%,19.89 ,19.89,"6,838.30","7,881.47",1.70,11.22,584.25,45,669,622,"711,183","2,069",7,32,639
KariV-31768,719,"4,616",4.41,6.92,69.1%,28.84,28.84,"12,803.53","1,835.58",2.34,2.48,"1,037.51",113,584,685,"704,194","1,586",5,36,360
FunnyAstro-2570,"1,265","4,629",3.46,7.38,64.0%, 25.17,25.17,"7,204.98","8,591.80 ",2.00,11.40,573.67,199,"2,074","1,361","1,541,865","5,387",147,66,"1,555"
Fusions-2559,"1,164","4,617",3.57,4.02,67.1%,29.36,29.36,"10,167.56",97.66,2.33,0.13,805.76,73,709,866,"711,729","2,055",28,50,576
DIMITRI-11493,134,"4,613",2.71,2.95,57.7%,27.60,27.60,"10,471.57",404.90,2.24,0.55,849.14,"1,279","1,939","4,257","2,649,308","6,982",4,70," 2,574"
Lilbow-2784,"1,712","4,613",2.71,6.27 ,57.7%,20.57,20.57,"6,308.55","9,047.82",1.60,11.76,491.88,167,"2,219","1,444","1,608,681","5,245",47,31,"1,933"
Danteh-11137,"1,295","4,603",3.40,4.50,62.5%,29.18,29.18,"11,635.43",960.06,2.43,1.33,967.66,505,"1,622","2,672","2,140,920","5,369",43,103,"1,581"
Arrge-2411,182,"4,601",3.05,3.40,59.8%,28.28,28.28,"10,127.68",851.99,2.35,1.18,839.80,"1,077","2,414","4,608","2,997,792","8,372",19,106,"2,741"
im37-1761,273,"4,600",4.15,5.75,78.6%,26.36,26.36,"9,916.68","2,079.71",2.27,2.98,853.35,65,220,356,"277,667",738,4,14,178
Masaa-1182,"1,260","4,595",2.61,6.84,56.2%,19.97,19.97,"5,861.19","10,049.66",1.58,13.21,462.34,231,"2,190","1,757","1,793,524","6,110 ",91,59,"2,343"
JJonak-3163,"1,062","4,595",2.64,6.19,45.5%,22.32,22.32,"8,310.05","6,735.95",1.83,9.19,679.93,18,130, 191,"182,821",491,3,8,186
Speedily-11472,746,"4,595",2.95,3.38,64.7%,29.13, 29.13,"10,527.96",607.46,2.42,0.84,872.92,352,709,"1,472","894,877","2,476",11,26,838
Alarm-31558,"1,174","4,625",3.31,9.88,64.6%,19.44,19.44,"7,206.29","11,189.05",1.51,14.49,560.02,63,494,495,"590,916","1,594",3,11,482
A10-21682,914,"4,592",5.44,7.58,65.6%,32.97,32.97,"11,458.56",102.97,2.63,0.14,914.89,44,385,412,"366,674","1,055",6,36,194
Boostio-1538,"1,142","4,590",3.07,3.45,58.4%,30.61, 30.61,"11,772.92",414.92,2.30,0.52,886.06,247,677,"1,251","906,515","2,357",3,44,769
Fissure-31436,"1,153","4,589",2.73,3.05,57.5%,21.80,21.80,"8,859.87",248.26,1.81,0.34,734.99,176,998,"1,391","1,355,560","3,335",44, 75,"1,221"
kraandop-2574,836,"4,589",3.02,3.61,59.4%,24.48,24.48,"9,107.12",541.94,2.03,0.75,753.65,55,615,683,"628,391","1,689",18,38,560
KAFEEEEEE-2350,"2,913","4,585",4.02,5.57,56.4%,29.78,29.78,"12,118.02",966.07, 2.38,1.29,968.55,"1,063","4,789","7,082","5,889,356","14,475",42,291,"3,599"
Hydration-1570,925,"4,558",3.47,5.06,65.3%,23.37,23.37,"7,710.55","3,422.45",2.06,5.02,678.37,87,387,505,"377,817","1,145",20,20,330
michelle-31606,367,"4,581",4.50,6.28,64.9%,24.89,24.89,"9,808.56","1,452.68",2.15,2.09,847.57,48,378,518,"559,088","1,419",10,41,315
Neon-12283,603,"4,576",1.79,6.38,61.1%,13.94,13.94,"3,675.66","8,912.80",1.11,11.79,291.72,77,477,532,"396,971","1,506",4,16,842
Hafficool-21377,"1,192","4,572",4.33,5.81,65.2%,29.07,29.07,"10,448.22","1,064.43",2.40,1.47,863.23,92,702,768,"720,927","2,006",13,29,463
Jaru-11700,"1,060","4,532",3.65,4.46,58.3%,27.60,27.60,"10,522.96","1,191.83",2.28,1.64,870.62,385,"1,091","2,069","1,389,031","3,643",10,54,999
DANYE-21205,830,"4,565",3.84,4.39,64.5%,30.19,30.19,"11,718.06",82.29,2.54,0.12,986.00,94,244,513,"363,260",936,4,20,244
Axxiom-3261,"1,040","4,564",3.85,4.62,70.6%, 26.45,26.45,"8,589.76", 598.12,2.08,0.78,674.29,85,465,524,"438,078","1,349",12,14,350
super-12850,"1,218","4,560",3.35,4.08,63.2%,27.06,27.06,"11,213.93",596.79,2.15,0.79,891.94,130,"1,323","1,627","1,525,094","3,680",25,84,"1,099"
markkiller57-1372,"1,017","4,560",4.64,6.12,61.4%,26.19,26.19,"8,348.01","1,228.81",2.31,1.81,737.70,119,"1,372","1,410","1,168,722","3,667",10,67,791
Engh-2353,861,"4,558",2.61,7.34,64.3%,15.93,15.93,"4,357.04","8,433.57",1.38,12.20,378.11,5,199,108,"121,997",446,16,4,171
Hawk-13948,"1,294","4,557",4.35,6.72,57.1%,29.44,29.44,"11,686.26","2,095.71",2.35,2.78,930.92,150,"1,470","1,764","1,717,880","4,328",13,101,996
Shock-2746,"1,128","4,556",2.76,3.39,58.5%,25.59,25.59,"9,696.83",751.60,2.01,0.98,761.48,117,"1,094","1,271","1,144,226","3,020",19,60,"1,096"
MirroR-11144,549,"4,555",4.73,7.42,55.6%,27.67,27.67,"11,806.96",932.00,2.46,1.38,"1,047.78",17,320,301,"318,788",747,5,12,158
sukwar-1643,396,"4,555",3.05,6.99,62.0%,22.20,22.20,"8,462.64","6,399.56",1.84,8.82,699.97,65,371 ,423,"423,132","1,110",3,17,364
LateYoung-4770,393,"4,554",4.25,5.54,58.2%,23.91,23.91,"8,731.65","1,296.77",1.95,1.76,711.34,87,938,923,"960,481","2,630",8,38,619
Fahzix-1213,"1,738","4,554",3.05,8.15,54.3%,19.18,19.18,"5,488.01","9,987.37",1.57,13.65,450.19,65,892,653,"707,953","2,474",19,22,811
ESCAPE-22293,210,"4,553",3.70,4.40,62.0%,30.34,30.34,"11,819.36",520.10,2.42,0.69,941.75,505,"1,059","2,000","1,430,142","3,671",10,51,992
False-11751,"1,164",0,4.10,5.44,55.7%,27.31,27.31,"9,323.84",366.09,2.22,0.50,756.64,159,"2,089","1,905","1,874,091","5,490",18,128,"1,339"
DragonEddy-21888,"1,594","4,550",5.08,6.29,60.0% ,35.03,35.03,"12,720.47 ",348.27,2.56,0.42,928.24,28,370,379,"381,614","1,051", 4,26,207
GGonak-3858,388,"4,549",3.76,8.94,83.3%,24.83,24.83,"8,241.28","7,409.94",2.13,10.57,705.67, 39,134,194,"148,343",447,30,4,119
DanneddOTP-2745,58,"4,545",2.08,2.08,60.0%,26.74,26.74,"9,971.47",0.00,2.10,0.00,782.75,390,675,"1,441","897,432","2,407",33,22,"1,158"
berd-11813,517,"4,539",2.38,6.38,57.4%,17.93,17.93,"5,355.10","9,199.85",1.47,12.55,438.37,32,428,284,"326,661","1,094",17,10,460
F4zE-3714,722,"4,544",5.06,7.03,55.9%,24.76,24.76,"9,727.86","1,311.69",2.16,1.91,850.25,40,422,579,"573,944","1,461",6 ,25,289
NotE-1996,701,"4,539",5.19,6.54,66.7%,29.14,29.14,"9,688.48","1,573.48",2.44,2.20,812.69,38,406,469,"406,916","1,224",4,27,236
Mande-11877,732,"4,538",3.69,5.36 ,57.3%,28.51,28.51,"11,564.38",446.27,2.31,0.60,938.03,259,"1,344","1,501","1,433,983","3,535",13,104, 957
Saucy-11143,473,"4,463",3.26,4.68,55.3%,26.80,26.80,"10,106.41","1,997.82",2.20,2.74,830.67,519,"1,539","2,387","1,829,261","4,851",18,96,"1,489"
Shaz-21907,"1,237","4,538",3.60,7.43,61.2%,22.19,22.19,"7,499.37","7,716.52",1.79,10.35,603.43,73,509,537,"502,458","1,487",8,22,413
eerpS-2462,976,"4,607",4.69,6.59,57.4%,30.52,30.52,"11,263.75",692.03,2.40,0.91,884.70,270,"2,747","2,964","2,906,048","7,875",25,171,"1,678"
xQc-11273,"3,074","4,534",2.76,3.23,56.4%,24.49,24.49,"8,647.22",386.82,2.00,0.53,705.75,224,"2,573","2,789","2,360,691","6,686",57,139,"2,425"
soames-1829,878,"4,533",3.27,8.10,64.3%,19.93,19.93,"5,516.48","9,433.24",1.64,12.91,452.82,21,317,272,"231,692",837,4,8,256
NiCOgdh-2794,"1,528","4,530",2.77,3.20,64.7%,29.35,29.35,"11,564.65",630.06,2.77,0.99,"1,092.22",49,143,281,"196,599",499,2,8,180
Guxue-4568,190,"4,530",4.87,5.14,61.5%,26.50,26.50,"9,204.42",28.42,2.21,0.04,766.29,139,698,"1,075","883,624","2,544",43,28,522
Ripa-21644,"1,323","4,528",3.05,7.57,65.8%,22.24,22.24,"7,307.55","9,032.45",1.78,12.04,584.32,28,358,264,"277,687",845,3,8,277
Sakuya-11639,483,"4,527",3.55,5.64,57.1%,20.25,20.25,"8,006.86","2,322.55",1.83,3.50,724.97,40,337,375,"448,384","1,134",2,19,319
Agilities-11974,"1,045","4,527",2.92,3.69,57.9%,27.16,27.16,"11,912.66","1,102.47",2.25,1.52,988.60,99,283,553,"452,681","1,032",4,17,353
Mouffin-1670,654,"4,472",4.83,5.10,63.0%,27.30,27.30,"8,999.91",500.02,2.37,0.72,781.86,76,349,550,"413,996","1,256",13,12,260
Goliath-1170,"1,491","4,522",3.07,7.35,61.1%,19.56,19.56,"6,453.33","7,201.86",1.72,10.54,566.52,27,253,235,"232,320",704,5,5,229
Davin-2928,"1,499","4,536",3.71,5.19,61.3%,28.13,28.13,"10,364.13","1,143.35",2.20,1.49,811.30,88,338,386,"321,288",872,2,13,235
ryujehong-31878,"1,125","4,521",3.26,7.77,55.2%,21.55,21.55,"7,974.48","9,807.93",1.68,12.78,623.31,16,222,203,"231,260",625,4,10,192
MekO-31124,"1,187","4,520",3.61,4.98,55.3%,21.86,21.86,"8,482.12","1,442.94",1.94,2.13,751.02,106,502,750,"720,980","1,858",5,30,514
mudkip-11467,789,"4,327",2.38,6.67,55.0%,18.11,18.11," 5,629.04","9,463.30",1.46,12.75,454.93,31,549,391,"450,323","1,449",12,9,609
sinatraa-11809,"1,438","4,517",2.88,3.58,58.8%,28.44,28.44,"11,916.38","1,064.54",2.27,1.41,950.32,159,705,"1,080","953,310","2,275",10,39,791
Fae-2926,"1,626","4,517",3.07,4.42,60.3%,26.22,26.22,"9,950.68","2,548.78",2.14,3.47,811.82,114,629,936,"726,400","1,914",10,30,623
SPACE-12232,"1,220","4,436",7.06,8.52,58.7%,31.28,31.28,"10,683.39",261.39,2.52,0.35,860.79,250,"2,050","2,566","2,147,361","6,288",14,159,891
Yiqids-2945,722,"4,516",3.34,5.02,57.7%,26.37,26.37,"9,570.60","2,569.52",2.08,3.37,753.99,222,993,"1,291","995,342","2,742",11,43,822
lhcloudy-2273,"2,124","4,412",2.94,3.52,57.4%,25.24,25.24,"9,378.15",693.15,1.98,0.91,737.63,159,"2,015","2,022","1,913,143","5,148",40,86,"1,753"
frdwnr-1928,640,"4,515",3.81,5.71,63.0%,24.67,24.67,"8,687.96","2,455.93",2.15,3.56,756.61,35,225,273,"234,575",666,4,18,175
Muma-11444,"1,842","4,569",3.21,3.75,58.7%,26.49,26.49,"10,799.76",113.08,2.12,0.15,865.58,203,"2,316","2,535","2,667,540","6,542",71,167,"2,036"
B3stB0lbi-1354,"1,511","4,514",3.03,3.55,60.0%,25.41,25.41,"8,428.94",192.74,2.12,0.27,701.80,62,796,823,"716,460","2,160",31,41,713
Molf1g-2494,644,"4,513",4.01,5.25,61.4%,27.77,27.77,"10,056.52","1,316.11",2.25,1.78,815.52,58,434,476,"442,487","1,222",6,21,305
LullSiSH-2507,"1,467","4,527",2.96,3.58,54.2%,22.86,22.86,"8,338.02",486.10,1.98,0.70,720.40,130,"1,351","1,465","1,292,393","3,544",26,77,"1,198"
BenBest-2898,"1,329","4,540",3.06,3.76,62.0%,26.43,26.43,"9,819.09", 791.44,2.04,1.02,758.94,60,738,817,"775,708","2,088",10,59,683
